Codibge7;acidente;homicidio;suicidio;indeterminado;veiculos;h_legal
2414308;0;0;0;0;0;0
4322343;0;0;0;0;0;0
5209457;0;0;0;0;0;0
5212055;0;0;0;0;1;0
4302055;1;0;0;0;0;0
4321626;0;0;2;0;0;0
1101468;0;0;0;0;0;0
1703883;0;0;1;0;2;0
2413805;0;0;0;0;0;0
4115903;0;0;0;0;0;0
4302378;0;0;0;0;0;0
3557154;0;0;1;0;1;0
5215801;0;0;0;0;1;0
4310579;0;1;1;0;0;0
3125200;1;0;0;0;0;0
4316972;0;0;0;0;0;0
4211892;0;0;0;0;1;0
5213855;0;0;1;0;0;0
3142502;0;0;2;1;0;0
2500577;0;2;0;0;0;0
4301958;0;0;0;0;0;0
1718451;0;0;1;0;1;0
4212056;0;0;0;0;1;0
5212600;0;0;0;1;3;0
5209291;0;0;0;0;0;0
2504108;0;0;0;0;0;0
4215554;0;0;0;0;0;0
1700251;0;0;0;0;3;0
3544707;0;0;0;0;1;0
5104500;2;0;0;0;0;0
2502201;0;0;0;0;0;0
2207934;0;0;0;0;0;0
4124301;0;0;0;0;2;0
4305157;0;1;0;0;0;0
1708254;0;1;0;1;2;0
2513943;0;0;0;0;0;0
4305587;0;0;0;0;0;0
3514957;0;0;0;0;1;0
4200556;0;0;1;0;0;0
2401651;0;0;0;0;0;0
4302238;0;0;2;0;0;0
5201454;0;0;1;0;0;0
4215059;0;0;0;0;0;0
4313334;0;0;0;0;0;0
2200954;1;0;0;0;0;0
4302220;0;0;0;0;0;0
1711100;0;1;0;0;0;0
3113800;0;0;0;0;0;0
4320651;0;0;0;0;0;0
4313086;0;0;0;1;0;0
4322376;0;0;0;0;0;0
5202809;0;0;0;0;0;0
4101853;1;0;1;0;1;0
1715259;0;0;1;0;3;0
4305850;0;0;1;0;0;0
4204459;0;2;0;0;0;0
4305871;0;0;0;0;0;0
4317954;0;0;0;0;0;0
3155009;0;0;0;0;0;0
4128302;0;0;0;0;0;0
3124609;0;0;0;0;0;0
4312138;0;2;1;0;1;0
